1,2019,1/2019,1,45183,8,5647
1,2019,1/2019,0,78682,23,3420
2,2019,2/2019,1,49792,8,6224
2,2019,2/2019,0,65828,20,3291
3,2019,3/2019,0,87964,21,4188
3,2019,3/2019,1,67882,10,6788
4,2019,4/2019,1,38474,8,4809
4,2019,4/2019,0,66827,22,3037
5,2019,5/2019,0,62122,23,2700
5,2019,5/2019,1,32844,8,4105
6,2019,6/2019,0,35113,20,1755
6,2019,6/2019,1,25925,10,2592
7,2019,7/2019,1,10691,8,1336
7,2019,7/2019,0,22903,23,995
8,2019,8/2019,1,15177,9,1686
8,2019,8/2019,0,23807,22,1082
9,2019,9/2019,0,33381,21,1589
9,2019,9/2019,1,24909,9,2767
10,2019,10/2019,0,67953,23,2954
10,2019,10/2019,1,42260,8,5282
11,2019,11/2019,1,51035,9,5670
11,2019,11/2019,0,60728,21,2891
12,2019,12/2019,1,52270,9,5807
12,2019,12/2019,0,71356,22,3243
1,2020,1/2020,1,57784,8,7223
1,2020,1/2020,0,89665,23,3898
2,2020,2/2020,1,61081,9,6786
2,2020,2/2020,0,80425,20,4021
3,2020,3/2020,0,111547,22,5070
3,2020,3/2020,1,71229,9,7914
4,2020,4/2020,0,100192,22,4554
4,2020,4/2020,1,41627,8,5203
5,2020,5/2020,0,91457,21,4355
5,2020,5/2020,1,45814,10,4581
6,2020,6/2020,0,62793,22,2854
6,2020,6/2020,1,28992,8,3624
7,2020,7/2020,1,19643,8,2455
7,2020,7/2020,0,59520,23,2587
8,2020,8/2020,1,27958,10,2795
8,2020,8/2020,0,54215,21,2581
9,2020,9/2020,1,36537,8,4567
9,2020,9/2020,0,75493,22,3431
10,2020,10/2020,0,106669,22,4848
10,2020,10/2020,1,62685,9,6965
11,2020,11/2020,0,115778,21,5513
11,2020,11/2020,1,71671,9,7963
12,2020,12/2020,1,69386,8,8673
12,2020,12/2020,0,136124,23,5918
1,2021,1/2021,0,117504,21,5595
1,2021,1/2021,1,92766,10,9276
2,2021,2/2021,0,127455,20,6372
2,2021,2/2021,1,79582,8,9947
3,2021,3/2021,0,150571,23,6546
3,2021,3/2021,1,70208,8,8776
4,2021,4/2021,1,57656,8,7207
4,2021,4/2021,0,117896,22,5358
5,2021,5/2021,1,59606,10,5960
5,2021,5/2021,0,90718,21,4319
6,2021,6/2021,0,64476,22,2930
6,2021,6/2021,1,28253,8,3531
7,2021,7/2021,0,46073,22,2094
7,2021,7/2021,1,27251,9,3027
8,2021,8/2021,0,53345,22,2424
8,2021,8/2021,1,24579,9,2731
9,2021,9/2021,0,61363,22,2789
9,2021,9/2021,1,29757,8,3719
10,2021,10/2021,0,95648,21,4554
10,2021,10/2021,1,66358,10,6635
11,2021,11/2021,0,115957,22,5270
11,2021,11/2021,1,62041,8,7755
12,2021,12/2021,1,59714,8,7464
12,2021,12/2021,0,114197,23,4965
1,2022,1/2022,0,113456,21,5402
1,2022,1/2022,1,87740,10,8774
2,2022,2/2022,0,117459,20,5872
2,2022,2/2022,1,78267,8,9783
3,2022,3/2022,0,146287,23,6360
3,2022,3/2022,1,70952,8,8869
4,2022,4/2022,1,59902,9,6655
4,2022,4/2022,0,103727,21,4939
5,2022,5/2022,0,77346,22,3515
5,2022,5/2022,1,43083,9,4787
6,2022,6/2022,1,22833,8,2854
6,2022,6/2022,0,48660,22,2211
7,2022,7/2022,0,38727,21,1844
7,2022,7/2022,1,23337,10,2333
8,2022,8/2022,0,42263,23,1837
8,2022,8/2022,1,23909,8,2988
9,2022,9/2022,1,29438,8,3679
9,2022,9/2022,0,46856,22,2129
10,2022,10/2022,0,78822,21,3753
10,2022,10/2022,1,51890,10,5189
11,2022,11/2022,0,93367,22,4243
11,2022,11/2022,1,58134,8,7266
12,2022,12/2022,0,104766,22,4762
12,2022,12/2022,1,56396,9,6266
